Name,Code,RO_Data,RW_Data,ZI_Data,Flash,RAM
core_cm3.o,0,0,0,0,0,0
delay.o,90,0,0,0,90,0
i2c.o,368,0,0,0,368,0
main.o,304,0,0,16384,304,16384
oled.o,756,0,0,0,756,0
oled_font.o,0,0,1520,0,0,1520
ov2640.o,840,0,24,0,840,24
ov2640_config.o,0,788,0,0,788,0
sccb.o,732,0,0,0,732,0
startup_stm32f10x_md.o,36,236,0,1024,272,1024
stm32f10x_dma.o,596,0,0,0,596,0
stm32f10x_gpio.o,860,0,0,0,860,0
stm32f10x_i2c.o,1028,0,0,0,1028,0
stm32f10x_it.o,26,0,0,0,26,0
stm32f10x_rcc.o,932,0,20,0,932,20
stm32f10x_usart.o,1032,0,0,0,1032,0
system_stm32f10x.o,480,0,20,0,480,20
uart.o,496,0,8,0,496,8
